Country Name,Year,Exports,FDI,GDP,Imports,Tariff_Rate,Trade_Balance,GDP_bil,FDI_bil,TB_bil
Saudi Arabia,2014,354973163493.333,3886926912.69665,766605866666.667,259006919010.083,3.39,95966244483.25,766.605866666667,3.88692691269665,95.96624448325
Saudi Arabia,2015,218010394722.267,1419284248.71197,669484266666.667,247307252133.333,4.45,-29296857411.06601,669.4842666666669,1.4192842487119701,-29.29685741106601
Saudi Arabia,2016,200877355477.285,-12692875423.2893,666000000000.0,198364897864.803,,2512457612.4819946,666.0,-12.692875423289301,2.512457612481995
Saudi Arabia,2017,239892453453.867,7159403360.83698,714994666666.667,201398111251.377,4.85,38494342202.48999,714.994666666667,7.15940336083698,38.49434220248999
Saudi Arabia,2018,314916582179.44,7111206239.99775,846583733333.333,209068860302.745,,105847721876.695,846.583733333333,7.111206239997751,105.847721876695
Saudi Arabia,2019,285859922577.6,11473648331.7423,838564800000.0,218974700093.196,,66885222484.40396,838.5648,11.4736483317423,66.88522248440397
Saudi Arabia,2020,182847985098.437,3789658451.53326,734271200000.0,182183707911.401,4.23,664277187.0360107,734.2712,3.78965845153326,0.6642771870360108
Saudi Arabia,2021,286501609064.774,-3676478911.31512,874156000000.0,213515557996.892,,72986051067.88199,874.156,-3.67647891131512,72.98605106788199
Saudi Arabia,2022,445881182136.38,-178702532.476294,1108571466666.67,258370594258.355,5.4,187510587878.025,1108.57146666667,-0.178702532476294,187.510587878025
Saudi Arabia,2023,368730819003.595,-5458375287.02145,1067582933333.33,289910251530.757,,78820567472.83795,1067.58293333333,-5.45837528702145,78.82056747283795
South Africa,1975,10323214081.4409,,42906905672.42,11218028957.7689,,-894814876.3279991,42.906905672419995,,-0.8948148763279992
South Africa,1976,9840549991.443,,41150460287.6151,10274099991.066,,-433549999.6229992,41.1504602876151,,-0.43354999962299917
South Africa,1977,11913999989.64,,45328411332.1028,9939449991.357,,1974549998.282999,45.328411332102796,,1.974549998282999
