Series Name,Series Code,Country Name,Country Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Portugal,PRT,144236940227.763,137933591015.171,126953267624.635,106459218960.318,85932574930.3776,105387722478.949,106219424881.941,95587879567.2666,84016295523.9289,82230813716.6543,93752603525.387,90995965948.0156,82531159458.9976,85867180203.2732,72002887874.4587,66994825834.97,83378528554.1471,75745235190.9019,63628211224.0907,53742604454.4551,52728538717.9293,45418655708.2999,36676050712.8245,33572587196.023,33555319518.9573,33801493519.4144,33984489954.2002,31866442214.2797,32849509789.9859,32228506620.1336,25374486174.7945,22757706722.1442,23845526045.2963,21621905018.8339,21553661628.664,16631359052.013,14433160217.7898,12499061249.8258,9689345241.0786,7679808729.93993,6902578663.67857,6124295533.83222,5729993541.60358,6130820207.27454,6673709957.36109,5200073231.12728,3857550083.52046,3404282984.61538,2580898523.61036,2882637468.69558
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,..,465659774609.551,640878288687.493,549716650000,381489920000,481686310000,508560910000,410482810000,332352610000,393034910000,562550590000,591958000000,589773980000,573448160000,441833180000,342951140000,523433950000,390390560000,333199930000,268869480000,200829850000,147485450000,117185250000,109273010000,110520310000,80751910000,86247230000,100024930000,101781970000,91743150000,74551490000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Saudi Arabia,SAU,..,368730819003.595,445881182136.38,286501609064.774,182847985098.437,285859922577.6,314916582179.44,239892453453.867,200877355477.285,218010394722.267,354973163493.333,387745717200,399419454800,376224211200,261831173341.6,202056547066.667,322853648266.667,249567932447.52,225206048409.493,191972800000,131849333333.333,98956906666.6667,77641200000,72980546133.3333,82259466666.6667,56061466666.6667,43493333333.3333,64902400000,63416266666.6667,53449600000,45899466666.6667,45617333333.3333,53681866666.6667,50629333333.3333,47381333333.3333,30853333333.3333,26634666666.6667,25680000000,22772344013.4907,31039697343.9032,41656606145.0666,50015063774.3481,78767953290.6019,119443903835.541,106765128072.793,62850421193.5868,39160931053.1193,42458791552.059,37388101993.5944,28729713698.9164
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,..,124671161952.937,136010327881.499,131089701926.385,94127119249.9362,105833418675.255,111372874801.582,104172007272.968,91482650746.4622,96346520856.1961,110444934431.209,113644229416.438,117934929474.945,126935038374.302,107953656098.772,83531696820.7001,102840415596.341,93316159614.4785,78999267955.2245,68089718597.9658,58436025841.5874,47358893128.4732,36882385813.7096,35908902855.2168,36995346355.1396,33743869641.6984,34594731512.5752,36561083234.6058,35495118245.5535,34402137132.153,30001242104.1358,29294867480.1148,27893270926.0938,26126023104.4514,27160238991.0116,25591574580.9092,26798100048.2563,25978095715.3321,19959939848.3875,18030792412.1543,19302453655.9364,20979586793.132,20081946595.1331,23621057036.358,28501651956.2234,19719170174.3076,14670549987.243,11913999989.64,9840549991.443,10323214081.4409
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Spain,ESP,..,616647566211.815,573598303195.145,492568234808.37,393602206802.488,486589572441.607,498991437520.156,461840843364.309,417417041572.347,401554055293.743,458432813958.169,446040774562.204,416384215440.68,437680992281.782,368535746091.485,344306252582.192,419463895074.566,383178835685.391,318537767331.268,287929499804.33,271500036297.655,232747259272.97,188254756522.711,174784679797.314,170405540321.695,167085636596.412,159781954697.059,150864578233.543,147319516053.021,133910334452.808,107784258646.228,92467808762.2286,99337039219.594,89337689294.6943,83594592162.6047,68400704606.9851,64402039293.6676,55566749442.9429,44711437221.5226,36682699054.5013,35303331788.2073,31369174587.8346,32829845880.0808,32304588124.3886,32140119734.3654,28642085668.9177,21686530054.1323,16752785674.1105,14120655083.8072,13255142353.6877
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Sudan,SDN,..,..,5908128947.72845,6664337809.93703,5065438285.07997,5101252297.39815,4995707338.38466,5880500847.62069,4638209737.91508,4896332965.50146,6021777924.59669,6047707928.55507,5125300929.7532,11026176541.4481,11646421263.4664,8581142972.82795,12087993690.433,9389652901.50133,5930483790.11213,4971303328.70825,3821880000,2578650000,2081280000,1713300000,1834100000,861700000,611500000,625700000,671000000,681000000,600100000,375700000,368900000,379500000,499000000,817011111.111112,588711111.111112,449724444.444444,547280000,818414542.319612,777461538.461539,783461538.46154,872601015.225283,1218270128.69689,981800001.9636,716920001.670248,725412173.73375,779138279.692152,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Turkiye,TUR,372756000000,357588000000,346602000000,287536000000,207638000000,253865000000,244379000000,228329000000,204025000000,216887000000,242604000000,233378000000,211638000000,183647000000,157441000000,145548000000,178018000000,145385000000,119871000000,106331000000,91918000000,70502000000,54750000000,49963000000,50353000000,45482000000,54117000000,51528000000,45150000000,36581000000,29191000000,26263000000,24298000000,22039000000,21042000000,18194000000,17581000000,14135000000,10580000000,11119000000,9609000000,7844000000,7808000000,5967000000,3621000000,2935000000,2755000000,2287000000,2540000000,2017000000
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,United Kingdom,GBR,..,1049530256375.84,1041461987044.18,916572696376.385,801202783354.232,902153043301.954,906757163933.295,829126153982.312,777697463531.562,815254552632.166,875910618858.819,843744926655.322,828852358562.961,836204389287.775,717698118342.308,651395677198.317,812380804361.48,789226017275.04,745310578917.01,642253504873.644,583174928020.317,494733670054.49,438536461303.203,421575093554.789,427407928552.41,410272068856.952,384318772481.818,383179008313.104,351830680358.616,322113920529.837,277113222738.51,245689726109.843,253593269083.67,239783075392.638,239226146127.677,198823599319.614,191399431602.392,174723938754.525,143500226783.008,132167965057.85,121915855956.927,121032829158.069,127520175822.223,136167525551.713,146071955345.421,116755054998.106,91119888678.2891,75600604769.3411,62967217314.4687,59440065897.7617
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,United States,USA,..,3071813000000,3039403000000,2570800000000,2160145000000,2546280000000,2542459000000,2394477000000,2240824000000,2280786000000,2392613000000,2313124000000,2247453000000,2143556000000,1872324000000,1592788000000,1849584000000,1660811000000,1463991000000,1291506000000,1168121000000,1028180000000,986095000000,1015364000000,1082962000000,976521000000,933183000000,934459000000,851628000000,794397000000,703254000000,642854000000,616872900000,578337000000,535258000000,487063000000,431143000000,348872000000,310041000000,289010000000,291047000000,266018000000,275167000000,294295000000,271788000000,223270300000,177525000000,151900000000,142320000000,130420000000
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Algeria,DZA,..,1216010863.9252,932987842.004666,869194073.014936,1143918159.62919,1381200049.59264,1466116068.03411,1230243450.87889,1638263953.77737,-537792920.921857,1502206170.55838,1691886707.50796,1500402452.8635,2571237024.68517,2300369124.15828,2746930734.16534,2638607033.75183,1686736539.70385,1841000000.00008,1155999999.99995,884749030,637853030,1064960000,1113105540,280100000,291600000,606600000,260000000,270000000,1000,1000,1000,30000000,11638686.4524336,334914.564224985,12091646.7968636,13018265.0203164,3711537.89978504,5316528.3778563,397788.2970683,802668.874073183,417641.162800209,-53569192.6448124,13207259.3615813,348669038.123928,25692486.0358378,135152172.302668,178452646.789187,187000000,119000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Argentina,ARG,..,23866141439.654,15200600517.715,6658049679.27728,4884127675.95708,6649187837.98606,11716769818.7543,11516861462.2845,3260164341.77393,11758994011.286,5065335541.96486,9821661858.15874,15323933916.8241,10839930944.6815,11332718626.4345,4017158924.88408,9725553129.52469,6473157762.12915,5537347786.19331,5265250000,4124710000,1652010000,2148910000,2166136829.76399,10418314339.1428,23987696389.6428,7290657132.08156,9160272052.4446,6948536686.64725,5609423403.56467,3634931878.26435,2793085410.09827,4430977523.08015,2439000000,1836000000,1028000000,1147000000,-19000000,574000000,919000000,268000000,185000000,227000000,837000000,678000000,206000000,250000000,144000000,244680000,55590000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brazil,BRA,71069841874.2,62441880089.59,74606361830.23,46440503520.19,38270116307.45,69174411753.45,78183840044.98,68885491315.23,74294627801.19,64738153494.44,87713983217.24,75211029129.4,92568388321.34,102427228231.42,82389932468.07,31480931700,50716402711.4787,44579492463.6336,19418085598.0794,15459981604.1196,18161380459.7533,10123013670.9901,16586600193.114,23225846372.251,32994718699.75,28385675614.9902,28855609916.42,18992934310.6468,12552000000,4859000000,3072000000,1292000000,2061000000,1103000000,989000000,1131000000,2804000000,1169000000,345000000,1441000000,1594000000,1609000000,2910000000,2520000000,1911000000,2419000000,2006000000,1833000000,1555000000,1302000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Canada,CAN,..,42076242120.3715,50229920776.0187,60189690111.8854,29123011879.2998,48942300762.2452,42603762048.5971,25357801000.497,34201872160.6085,59986208237.0735,64174605785.6347,67027866778.2682,49368985104.1991,38338330427.428,29714744325.4741,20951090410.3131,70119614332.5095,120451484862.004,64302303096.8668,25552226940.9281,1452416545.21802,7011792709.04631,24486425376.8819,28391098831.3382,68303350856.0836,27456044687.0987,24979208298.1649,15182400421.6905,8817677647.2938,13657593613.3371,9541029101.65658,4178460316.69705,7018240062.86526,3514220103.04375,8401707941.43435,7171648940.44922,7196400040.3342,8597306053.61165,2709677620.68495,1256760213.69256,5675261448.85168,4618560061.87692,90061244.1131481,663720808.269735,5813268734.78803,5307737031.12626,3740191707.68949,3371826624.08886,2450721215.75787,3386183402.57977
