Series Name,Series Code,Country Name,Country Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Japan,JPN,..,..,..,..,..,..,..,26440694396.687,21500257090.9753,17293070283.0307,9481358283.57827,34339324665.5464,30734354195.9472,19344378431.0937,25693039711.6221,33085785004.4804,46205395349.6241,60549386566.5095,51358484681.0391,89018788218.0295,61450645280.7978,72215534552.4662,117685915139.306,117085390234.641,145036160640.494,118172189795.213,133162791214.283,137656207444.103,154947985695.973,134928938193.782,218323780735.708,87533471953.2795,174664675618.35,126856646628.759,162085534167.902
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Turkiye,TUR,-663000000,-700000000,-783000000,-779000000,-622000000,-559000000,-772000000,-612000000,-554000000,-573000000,-138000000,-112000000,-2855000000,-939000000,-1222000000,-2005000000,-8967000000,-19261000000,-19941000000,-17302000000,-7032000000,-7617000000,-13812000000,-9638000000,-9927000000,-6287000000,-14167000000,-10697000000,-8487000000,-8845000000,-6496000000,-4430000000,-6444000000,-8731000000,-4988000000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,United Kingdom,GBR,4270004425.58102,-13379913178.091,302418661.365092,3139617820.2475,10735545430.3216,24171411205.4612,27379619676.3163,9301532237.31374,23386816482.3935,48157120557.6836,112454145411.852,127916379256.163,21321018557.6055,31141421727.9504,46069635887.5861,41580064154.0727,-92742954100.2227,-61381481565.7496,160880316709.816,103242148985.75,-62945021961.1458,-12327098017.1828,53821554014.553,-34727249184.4595,-8222267228.03088,-172805792105.636,-105510499552.5,-291904952184.513,46685075527.4551,-3576693950.22308,-41289065813.2492,-140797136683.084,155692535405.009,79991422960.3437,153366551851.431
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,United States,USA,-24800000000,-11290000000,14720000000,28460000000,32570000000,34050000000,40980000000,5360000000,-770000000,-36390000000,-64964000000,-162755000000,-26455000000,67930000000,78112000000,160363000000,-89753000000,-14662000000,177277000000,2491000000,151514000000,85789000000,173119000000,126895000000,104665000000,135673000000,-209363000000,-174573000000,28590000000,-345435000000,-201057000000,145265000000,-133851000000,-20472000000,105300000000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Korea, Rep.",KOR,-660100000,87600000,136000000,374100000,611200000,1453500000,1381400000,2170700000,1110200000,-1768900000,-6759100000,-6667300000,-3778800000,-2037900000,-1991200000,-6098800000,-5313200000,3401200000,13004100000,8349000000,8378600000,18724200000,19874700000,21102800000,15551200000,18724900000,19583000000,17785200000,16156500000,26037800000,25604700000,26067500000,43940200000,40754300000,19362200000
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,567211993243.243,596075591360.987,612527712315.615,594387358318.855,579053561739.4,579944346807.264,605961090061.207,630607994132.747,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,2142470914401.36
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,412990820287.42,464989098144.854,342534090909.091,328191909882.232,368292034380.96,525369467295.737,769333050986.905,850426432991.742,883206179730.462,863710759256.435,599642024319.531,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839853.105,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,347768051311.741,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564321854521.013,734484834573.582,863749314718.538,961601980984.623,1029060747620.65,1094003874937.34,1211331651866.09,1339400897105.11,1470557654799.95,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6,14279968506271.7,14687744162801,17820459508852.2,17881782683707.3,17794783039552
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1016742237302.08,1257649439826.53,1258961748633.88,1389663073110.28,1314383368079.69,1385822778827.98,1595219345511.89,1598889216566.23,1449392222971.45,1496906382032.47,1486915879701.93,1360959069477.49,1370376677298.86,1492427756382.43,1835095983049.09,2109792297237.03,2192146403028.17,2317861544690.82,2655816911866.56,2926802941585.86,2700075882518.98,2646230027988.34,2870408553990.28,2683007095787.23,2816077607875.26,2861236112552.42,2442483452642.5,2470407619777.13,2588868323334.71,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2796302210398.84,3051831611384.76
